Svenska;Spanska;Kategori
Nämnder;Comités;Samhällskunskap
Valperiod;Legislatura;Samhällskunskap
Riksmöte; ;Samhällskunskap
Ålderspresident; ;Samhällskunskap
Gruppledare; ;Samhällskunskap
Arbetsplenum; ;Samhällskunskap
Folksuveränitetens princip;El principio de la soberanía popular;Samhällskunskap
Misstroendevotum;Voto de censura;Samhällskunskap
Region (f.d. landsting);Región;Samhällskunskap
Allmänna val;Elecciones generales;Samhällskunskap
Region (Landstings) fullmäktige;Parlamento regional;Samhällskunskap
Kommunfullmäktige;Asamblea municipal;Samhällskunskap
Kommunalval;Elecciones municipales;Samhällskunskap
(Landstings) Regionval;Elecciones regionales;Samhällskunskap
Extra val;Elecciones anticipadas;Samhällskunskap
Allmän rösträtt;Sufragio universal;Samhällskunskap
Lika rösträtt;Igualdad en derecho a voto;Samhällskunskap
Mandat;Escaño, mandato;Samhällskunskap
Proportionellt valsystem;Sistema electoral proporcional;Samhällskunskap
Personröst;Voto preferencial;Samhällskunskap
Europaparlamentet;El parlamento europeo;Samhällskunskap
Förmögenhet;Fortuna;Samhällskunskap
Valförordningen;La normativa electoral, el reglamento electoral;Samhällskunskap
Valmyndigheten;La Autoridad electoral nacional;Samhällskunskap
Länsstyrelse;Gobierno civil;Samhällskunskap
Skatteverket;Agencia tributaria;Samhällskunskap
Valsedlar;Papeletas;Samhällskunskap
Röstlängd;Censo electoral;Samhällskunskap
Omval;Relección;Samhällskunskap
Sametinget;El parlamento de los Sami;Samhällskunskap
Migrationsrätt;Derecho de migración;Migration
Utlänningslagen;La ley de extranjería;Migration
Utlänningsförordningen;El decreto de extranjería;Migration
Lag om tillfälliga begränsningar av möjligheten att få uppehållstillstånd i Sverige;Ley sobre restricciones temporales a la posibilidad de obtener un permiso de residencia en Suecia;Migration
Lag om mottagande av asylsökande m.fl;Ley sobre acogida de solicitantes de asilo;Migration
Förordning om mottagande av asylsökande m.fl.;Decreto sobre acogida de solicitantes de asilo;Migration
Lag om hälso- och sjukvård åt asylsökande m.fl.;Ley sobre atención sanitaria para solicitantes de asilo y otros.;Migration
Lag om god man för ensamkommande barn;Ley de curadores para menores no acompañados;Migration
Lag om uppehållstillstånd för studerande på gymnasial nivå (nya gymnasielagen);Ley de permiso de residencia para estudiantes a nivel de secundaria superior (la nueva ley de secundaria superior).;Migration
Skollagen;La ley de educación;Migration
Lag om ansvar för etableringsinsatser för vissa nyanlända invandrare;Ley de responsabilidad de programas de integración para ciertos inmigrantes recién llegados.;Migration
Lag om mottagande av vissa nyanlända invandrare för bosättning (Bosättningslagen);Ley sobre acogida de ciertos inmigrantes recién llegados para residencia (Ley de residencia);Migration
EU:s nya migrations- och asylpakt;El nuevo Pacto sobre Migración y Asilo de la UE;Migration
Asylprocedurdirektivet;Directiva sobre procedimientos de asilo;Migration
Sekundär förflyttning;Desplazamiento secundario;Migration
Mottagardirektivet;La directiva de acogida;Migration
Dublinförordningen *;El Convenio de Dublin;Migration
Skyddsgrundsdirektivet;La directiva sobre los requisitos/motivos de protección;Migration
Återvändardirektivet;La directiva de retorno;Migration
Massflyktsdirektivet;La directiva europea de protección temporal;Migration
