SVENSKA;SPANSKA
12§ Olovlig värvning;Reclutamiento ilícito
13§ Tagande av utländskt understöd;Recepción de ayuda económica del extranjero
1§ Tjänstefel/ grovt tjänstefel;Prevaricación / prevaricación con agravante
3§ Brott mot tystnadsplikt;Delito contra el secreto profesional
5§ Lydnadsbrott;Delito de desobediencia
6§ Grovt lydnadsbrott;Delito de desobediencia con agravante
7§ Rymning;Huida
8§ Våld eller hot mot förman;Violencia o amenaza contra superior
9§ Samröre med fienden;Colaboración con el enemigo
10§ Undergrävande av stridviljan;Menoscabo de la voluntad de lucha
11§ Försummande av krigsförberedelse;Negligencia con los actos preparativos de guerra
12§ Obehörig kapitulation;Rendición no autorizada
13§ Stridförsumlighet;Negligencia en combate
14§ Tjänstebrott;Prevaricación/ Delito de incumplimiento grave del deber
1§ Landsförräderi;Traición contra la nación
2§ Landssvek;Engaño contra la nación
3§ Landsskadlig vårdslöshet;Negligencia en detrimento de la nación
5§ Ryktesspridning till fara för rikets säkerhet;Difusión de rumores que pone en peligro la seguridad de la nación
6a§ Olovlig befattning med kemiska vapen/ grov…;Manejo ilicito de armas quiímicas
6b§ Olovlig befattning med minor/ grov…;Manejo ilícito de minas
6c§ Olovlig kärnsprängning/ grov…;Ensayos nucleares ilícitas
Lag 2014:406 Om straff för folkmord, brott mot mänskligheten och krigsförbrytelser.;
strafföreläggande;Imposición/orden de sanción
Förneka brott;Negar un delito
Erkänna brott;Reconocer un delito
Delge;Notificar
Gripa;Aprehender
Anhålla;Detener
Häkta;Someter a la prisión preventiva
Patrull;Patrulla
Brottsrekvisit;Elementos constitutivos del delito 
Fria;Absolver
Fälla (skyldig);Condenar
Dömma;Sentenciar
Väcka åtal;Dictar auto de procesamiento
"Förhörsledare
 ";Instructor del interrogatorio
Juridik;Derecho
Rådman;Juez de primera instancia
Rättsregler;Normas jurídicas
Lagstiftningsarbete;Trabajo legislativo
Domstolar;Tribunales
Myndigheter;Autoridades
Rättspraxis;Jurisprudencia
Rättsfakta;Hechos jurídicos
Rättsföljd;Consecuencia jurídica
Tvångsåtgärder;Medidas coercitivas, medidas cautelares
Lagar;Leyes
Rättsordning;Ordenamiento jurídico
Rättssamhälle;Sociedad de derecho
Rättsstat;Estado de derecho
Kränkningar;Violaciones, incumplimientos, transgresiones, vejaciones, ultrajes
Kränkningsrersättning;Indemnización por ultraje
Förordningar;Decretos
Direktiv;Directivas
Polisen;La policia
Åklagarmyndigheten;El ministerio fiscal, la fiscalía, el ministerio público
Ekobrottsmyndigheten EBM;Autoridad Sueca de Lucha contra la Delincuencia Económica (Utrikes namnbok)
Kriminalvården KV;La dirección de ejecución penal, El sistema penitenciario
Kronofogdemyndigheten KFM;La oficina nacional de cobro ejecutivo de Suecia (Utrikes namnbok)
Rättsmedicinalverket RMV;La dirección nacional de medicina forense (Utrikes Namnbok)
Tullverket;Aduanas de Suecia (Utrikes Namnbok), La administración de Aduanas
Rättsväsendet;El sistema judicial, las instituciones judiciales
Brottsförebyggande rådet;El consejo nacional para la prevención de la delincuencia (Utrikes Namnbok)
Brottsoffermyndigheten BrOM;La oficina nacional para las víctimas del crimen (Utrikes Namnbok)
Justitiedepartementet;El Ministerio de justicia
Brottsbeivrande;Prevención y lucha contra la delincuencia
Anhållande;Detención
Åtal;Auto de procesamiento, acción penal, enjuiciamiento
Påföljd;Sanción
Skyddstillsyn;Libertad condicional vigilada
Fängelse;Prisión, cárcel
Villkorlig dom;Sentencia condicional
Samhällstjänst;Trabajo/ servicio comunitario, trabajos en beneficio de la sociedad
Ostraffad;Sin antecedentes penales
Civilrätt (Privalrätt);Derecho civil
Fysiska personer;Personas físicas
Juridiska personer;Personas jurídicas
Avtal;Acuerdo, contrato, pacto, convenio
Hyra;Alquiler, arriendo
Kredit;Crédito
Bolag;Sociedad
Förening;Asociación
Stiftelse;Fundación
Förvaltningsrätt;Derecho administrativo
Kommunalrätt;Derecho municipal
Straffrätt;Derecho penal
Processrätt;Derecho procesal
Straff;Castigo, pena, sanción
Brottsbalken;El código penal
Legalitetsprincipen;El principio de legalidad
Förvaltningsmål;Caso administrativo
Skatterätt;Derecho tributario o fiscal
Folkrätt;Derecho internacional
Internationell privaträtt;Derecho civil internacional
Internationell rätt;Derecho internacional
Konventioner;Convenciones
Lagharmonisering;Harmonización legislativa
Köprätt;Derecho de compraventa
Avtalsrätt;Derecho contractual
Patent- och upphovsrätt;Derecho de patentes y derecho de autor
Förenta nationerna FN;La ONU, organización de las naciones unidas
Europarådet;El consejo europeo
Utsökningsrätt;Derecho de ejecución forzosa
Borgenär;Acreedor
Allemansrätten;Derecho consuetudinario de acceso a la naturaleza.
Sedvanerätt;Derecho consuetudinario
Sedvanerätt;Derecho consuetudinario
Regeringsformen RF;La ley reguladora del gobierno sueco
Miljöbalken;El código medioambiental
Juridisk doktrin;Doctrina jurídica
Åverkan;Daño, deterioro, delito leve de daños, delito de deterioro
Tagande av olovlig väg;Uilización de camino ilícito
Högsta domstolen HD;El tribunal supremo
Markägare;Terrateniente
Fastighetsägare;Propietario de bienes inmuebles
Lagtext;Texto legislativo
Skälig;Razonable
Av ringa betydelse;De importancia leve
Lagtolkning;Interpretación de la ley
Bokstavstolkning;Interpretación literal
Systematisk tolkning;Interpretación sistemática
Teleologisk tolkning;Interpretación teleológica
Brottmål;Caso penal
Analogisk tolkning;Interpretación analógica
E contrario tolkning;Interpretación e contrario
Förarbeten till lag;Anteproyectos de ley
Propositioner;Proposiciones
Utskottsutlåtanden;Dictámenes de los grupos de trabajo del parlamento
Prejudikat;Precedente
Arbetsdomstolen AD;El tribunal de trabajo
Patent- och marknadsdomstolen;El tribunal de patentes y del mercado
Högsta förvaltningsdomstolen HFD;El tribunal supremo administrativo
EU- domstolen;El tribunal de justicia de la UE
Paragraf §;Artículo
Arbetsrätt;Derecho laboral
Konsumenträtt;Derecho del consumidor
Motioner;Mociones
Lagrådsremiss;Consulta al Consejo General del Poder Judicial (CGPJ)
Svensk författningssamling SFS;Código de Estatutos Suecos
Utfärda (promulgera);Promulgar
Grundlag;Ley orgánica
Könsneutral;Neutral de género
Sexuell läggning;Orientación sexual
Successionsordningen SO;La ley de sucesiones
Tryckfrihetsförordningen TF;La ley de libertad de prensa
Yttrandefrihetsgrundlagen YGL;La ley de libertad de expresión
Regeringskansliet;El gabinete del gobierno
Remiss;Consulta
Lagrådet;El consejo judicial, el consejo legislativo
Justitieråd;Miembro del tribunal supremo
124. Normhierarkin;Hierarquía normativa
Föreskrifter;Normativas, ordenanzas
Dispositiv lag;Ley dispositiva
Indispositiv lag;Ley imperativa, ley indispositiva
Kommissionen;La comisión
Europaparlamentet;El parlamento europeo
Ministerrådet;El consejo de ministrs
Fördrag;Tratado
Enhälliga;Unánime
Kvalificerad majoritet;Mayoría cualificada
Massmedia;Los medios públicos
Rättegångar;Juicios, procesos, vistas
Ärenden;Casos, causa, asunto (legal)
Domstolsförhandling;Audiencia, juicio, vista, sesión del tribunal
Stängda dörrar;A puerta cerrada
